YYMMDDHH,PRECIP,WS10M
10040212,0.01,3.26
10040218,0.0,3.4
10040300,0.0,2.57
10040306,0.0,2.83
10040312,0.0,4.85
10040318,0.0,3.82
10040400,0.0,2.47
10040406,0.03,3.07
10040412,0.03,3.86
10040418,0.09,3.49
10040500,0.0,1.63
10040506,0.15,1.9
10040512,0.04,2.58
10040518,0.0,2.95
10040600,0.0,2.37
10040606,0.0,2.55
10040612,0.0,4.57
10040618,0.0,3.34
10040700,0.0,2.08
10040706,0.0,2.6
10040712,0.0,3.97
10040718,0.0,3.56
10040800,0.0,2.05
10040806,0.0,2.78
10040812,0.0,3.9
10040818,0.0,2.75
10040900,0.0,1.89
10040906,0.0,1.72
10040912,0.0,1.92
10040918,0.0,2.25
10041000,0.0,1.89
10041006,0.0,2.48
10041012,0.0,4.31
10041018,0.0,3.72
10041100,0.0,2.63
10041106,0.0,2.77
10041112,0.0,4.1
10041118,0.0,4.22
10041200,0.0,2.85
10041206,0.0,2.46
10041212,0.06,3.48
10041218,0.03,3.19
10041300,0.52,2.1
10041306,2.87,2.13
10041312,6.98,4.09
10041318,1.7300000000000002,3.26
10041400,0.02,3.41
10041406,0.29,3.23
10041412,0.4,6.34
10041418,1.2799999999999998,3.68
10041500,1.41,2.34
10041506,0.48,2.75
10041512,0.18000000000000002,3.7
10041518,0.0,3.64
10041600,0.0,2.2
10041606,0.02,2.86
10041612,0.41,4.81
10041618,0.01,4.12
10041700,0.0,3.01
10041706,0.0,3.53
10041712,0.02,6.13
10041718,0.38,3.92
10041800,0.8400000000000001,3.12
10041806,2.3800000000000003,3
10041812,0.9000000000000001,5.41
10041818,0.14,3.73
10041900,0.15,2.55
10041906,0.09999999999999998,3.48
10041912,0.01,4.47
10041918,0.0,3.3
10042000,0.0,2.12
10042006,0.0,2.67
10042012,0.08999999999999998,3.58
10042018,0.13,3.42
10042100,0.1,1.87
10042106,1.6300000000000001,2.68
10042112,0.4,3.71
10042118,0.08,3.64
10042200,0.0,2.44
10042206,0.07,2.74
10042212,0.01,3.4
10042218,0.0,2.5
10042300,0.0,1.99
10042306,0.01,2.31
10042312,0.22,1.94
10042318,0.02,1.35
10042400,0.0,2.21
10042406,0.11,2.34
10042412,0.01,2.91
10042418,0.0,3.3
10042500,0.0,2.75
10042506,0.07,2.97
10042512,0.03,4.4
10042518,0.02,3.99
10042600,0.01,2.72
10042606,0.13999999999999999,3.04
10042612,0.060000000000000005,3.97
10042618,0.0,3.6
10042700,0.0,2.07
10042706,0.12000000000000001,2.13
10042712,0.05,2.05
10042718,0.24000000000000002,3.13
10042800,0.22000000000000003,2.07
10042806,0.27999999999999997,1.34
10042812,0.8600000000000001,2.33
10042818,1.2999999999999998,1.62
10042900,0.53,1.35
10042906,0.5499999999999999,2.11
10042912,1.97,2.94
10042918,1.8599999999999999,1.36
10043000,1.4000000000000001,1.16
10043006,2.46,1.72
10043012,6.510000000000001,2.05
10043018,3.18,2.01
10050100,1.2100000000000002,1.97
10050106,3.1599999999999997,2.25
10050112,1.29,2.86
10050118,0.48000000000000004,2.06
10050200,1.7500000000000002,1.36
10050206,0.49000000000000005,1.09
10050212,0.04,1.31
10050218,0.09,1.09
10050300,0.5399999999999999,1.34
10050306,0.16,0.52
10050312,0.84,1.44
10050318,0.7,1.26
10050400,0.7000000000000001,1.59
10050406,1.55,2.08
10050412,0.77,2.13
10050418,0.6799999999999999,1.82
10050500,0.09,1.71
10050506,0.07,1.15
10050512,2.2,1.91
10050518,1.4500000000000002,2.03
10050600,0.04,1.79
10050606,0.27,2.58
10050612,0.02,3.11
10050618,0.0,2.62
10050700,0.0,2.29
10050706,0.0,2.91
10050712,0.0,2.05
10050718,0.0,2.97
10050800,0.0,2.5
10050806,0.0,2.69
10050812,0.0,3.1
10050818,0.0,3.19
10050900,0.02,2.01
10050906,0.09000000000000001,1.98
10050912,0.04,2
10050918,0.0,2.07
10051000,0.0,1.34
10051006,0.0,2.29
10051012,0.08,1.65
10051018,0.01,2.46
10051100,0.0,1.89
10051106,0.0,2.85
10051112,0.0,3.9
10051118,0.0,3.22
10051200,0.0,2.43
10051206,0.0,3.15
10051212,1.97,4.29
10051218,0.41,3.84
10051300,0.0,2.8
10051306,0.0,2.56
10051312,0.11,3.51
10051318,0.52,3.9
10051400,0.02,2.44
10051406,0.0,3.38
10051412,0.0,3.33
10051418,0.0,2.97
10051500,0.0,1.93
10051506,0.0,2.37
10051512,0.0,3.6
10051518,0.0,3.07
10051600,0.0,2.16
10051606,0.0,2.66
10051612,0.0,2.97
10051618,0.0,3.36
10051700,0.0,2.59
10051706,0.0,2.86
10051712,0.0,2.83
10051718,0.0,2.61
10051800,0.0,2.5
10051806,0.0,2.84
10051812,0.060000000000000005,1.82
10051818,0.0,1.69
10051900,0.0,1.13
10051906,0.02,2.09
10051912,0.01,2.49
10051918,0.0,1.72
10052000,0.0,0.43
10052006,0.0,2.34
10052012,0.060000000000000005,2.24
10052018,0.02,2.12
10052100,0.0,1.88
10052106,0.0,2.24
10052112,0.0,1.95
10052118,0.0,1.84
10052200,0.0,1.47
10052206,0.0,1.55
10052212,0.02,1.01
10052218,0.03,2.92
10052300,0.0,1.86
10052306,0.0,2.01
10052312,0.0,3.4
10052318,0.0,3.74
10052400,0.0,2.04
10052406,0.0,1.87
10052412,0.16000000000000003,2.85
10052418,0.42000000000000004,2.85
10052500,0.33999999999999997,1.51
10052506,0.14,0.95
10052512,2.4899999999999998,1.27
10052518,0.6100000000000001,0.65
10052600,0.65,0.34
10052606,6.79,1
10052612,1.7100000000000004,2.15
10052618,0.53,1.71
10052700,0.29000000000000004,2.39
10052706,0.3,0.89
10052712,1.0100000000000002,2.22
10052718,0.8300000000000001,1.09
10052800,1.02,1.6
10052806,2.0500000000000003,1.87
10052812,1.8,2.29
10052818,1.01,1.47
10052900,1.17,1.17
10052906,0.89,1.11
10052912,0.18000000000000005,2.55
10052918,0.060000000000000005,1.89
10053000,0.05,1.54
10053006,0.0,1.44
10053012,0.15000000000000002,3.89
10053018,0.2,2.95
10053100,0.11,2.1
10053106,0.05,2.42
10053112,0.34,4.1
10053118,1.01,2.87
10060100,1.15,2.18
10060106,1.09,1.54
10060112,1.6800000000000002,3.56
10060118,1.18,2.54
10060200,0.45,2.11
10060206,0.67,1.35
10060212,4.0,3.23
10060218,4.82,2.48
10060300,1.6900000000000002,2
10060306,0.81,2.39
10060312,1.15,4.02
10060318,0.77,2.68
10060400,0.24000000000000002,2.08
10060406,0.32,1.88
10060412,0.93,4.72
10060418,0.69,2.51
10060500,0.5499999999999999,1.5
10060506,0.67,1.54
10060512,0.6,4.04
10060518,0.43,2.15
10060600,0.31,1.56
10060606,0.36,1.73
10060612,0.6000000000000001,3.95
10060618,0.47,2.28
10060700,0.19,1.52
10060706,0.16999999999999998,1.1
10060712,0.52,2.71
10060718,0.6300000000000001,1.83
10060800,0.43999999999999995,1.42
10060806,0.46,0.44
10060812,0.29000000000000004,1.72
10060818,0.31000000000000005,2.13
10060900,0.18,1.06
10060906,0.09999999999999999,0.32
10060912,0.39,1.34
10060918,0.69,1.18
10061000,0.38,1.49
10061006,0.4700000000000001,1.32
10061012,3.04,0.98
10061018,1.8299999999999998,1.33
10061100,0.6799999999999999,1.33
10061106,0.62,0.78
10061112,1.05,1.57
10061118,2.14,1.99
10061200,0.9700000000000001,1.56
10061206,0.53,1.05
10061212,0.09,1.32
10061218,0.0,2.02
10061300,0.0,1.4
10061306,0.0,0.17
10061312,2.63,1.61
10061318,3.39,1.12
10061400,2.4,1.29
10061406,1.53,0.65
10061412,1.69,2.67
10061418,2.09,1.42
10061500,2.02,1.31
10061506,1.5799999999999998,0.6
10061512,0.8900000000000001,2.23
10061518,1.16,0.97
10061600,1.2,1.1
10061606,0.7599999999999999,1.52
10061612,1.9100000000000001,2.82
10061618,2.17,1.54
10061700,1.1199999999999999,1.42
10061706,1.48,2.02
10061712,2.12,3.01
10061718,2.4800000000000004,1.81
10061800,1.48,1.66
10061806,1.37,1.87
10061812,0.84,2.89
10061818,0.41,1.49
10061900,0.31,1.7
10061906,0.24000000000000002,1.77
10061912,1.7400000000000002,2.03
10061918,2.94,1.34
10062000,3.26,1.23
10062006,2.52,1.36
10062012,1.19,1.37
10062018,1.19,1.44
10062100,1.15,0.94
10062106,1.3199999999999998,0.89
10062112,1.46,2.18
10062118,1.02,1.28
10062200,1.1700000000000002,1.35
10062206,1.78,1.38
10062212,0.9,1.41
10062218,0.6399999999999999,0.88
10062300,0.22,1.01
10062306,0.26999999999999996,0.6
10062312,1.17,2
10062318,1.8399999999999999,1.87
10062400,1.12,1.53
10062406,0.5900000000000001,1.32
10062412,1.1300000000000001,1.94
10062418,3.5199999999999996,1.53
10062500,2.9000000000000004,1.89
10062506,2.2800000000000002,1.41
10062512,3.79,2.6
10062518,3.73,2.03
10062600,1.53,1.82
10062606,1.1,1.04
10062612,0.39,2.25
10062618,1.12,1.46
10062700,0.39,1.22
10062706,0.8600000000000001,0.83
10062712,0.95,1.34
10062718,0.5900000000000001,1.4
10062800,0.36,1.53
10062806,0.29000000000000004,1.32
10062812,1.52,1.6
10062818,3.2600000000000002,1.16
10062900,2.2899999999999996,1.25
10062906,1.71,1.86
10062912,3.8699999999999997,1.44
10062918,2.7399999999999998,1
