,ID,t,phi,f,P,mw,w10m,v,r,resid^2,rf,fit,,,,,
86,1325,-21,125.4,1.92E-05,975,65,1.27,12.52697141,480.6003323,0.897508914,0,0.947369471,,,,,
87,1325,-18,124.95,1.92E-05,972.5,67.5,1.28,16.1061061,432.979296,8.470939708,0,2.910487881,,,,,
88,1325,-15,124.5,1.92E-05,970,70,1.38,16.1061061,385.5318168,4.521028926,2.7,4.826271132,,,,,
89,1325,-12,123.9,1.92E-05,970,70,1.42,21.47480813,322.6708067,24.59065377,2.85,7.808896426,,,,,
90,1325,-9,123.3,1.92E-05,970,70,1.4,21.47480813,260.5746153,45.95460921,3.45,10.2289829,,,,,
91,1325,-6,122.85,1.93E-05,970,70,2.37,16.20812801,216.9150115,51.51863385,6.66,13.83764821,,,,,
92,1325,-3,122.4,1.93E-05,970,70,3.42,16.2042901,175.9326104,12.11850988,21.42,17.93883498,,,,,
93,1325,0,121.45,1.94E-05,972.5,67.5,3.71,34.02761346,106.4388374,319.8470998,40.71,22.82573038,,,,,
94,1325,3,120.5,1.94E-05,975,65,4.31,34.01941778,112.0617763,132.5600943,35.52,24.00652553,,,,,
95,1325,6,119.75,1.93E-05,975,65,5.63,27.40468372,156.0331391,7.02094824,27.33,24.6802928,,,,,
96,1325,9,119,1.91E-05,975,65,5.02,27.42347612,222.9666188,7.378429558,22.95,20.23367352,,,,,
97,1325,12,118.6,1.91E-05,972.5,67.5,4.01,14.32335264,264.3113048,85.17099204,23.97,14.74118686,,,,,
98,1325,15,118.2,1.91E-05,970,70,4.53,14.32335264,306.1040188,164.9401682,26.7,13.85709658,,,,,
99,1325,18,117.6,1.89E-05,970,70,5.72,21.81114279,367.6453466,2.161013442,15.99,14.51996141,,,,,
100,1325,21,117,1.88E-05,970,70,5.23,21.82108475,430.4383279,110.4020951,0,10.50724013,,,,,
101,1325,24,116.35,1.89E-05,967.5,72.5,4.32,23.36524042,500.4183453,25.38456233,0,5.038309471,,,,,
102,1914,-24,126.3,2.27E-05,1008,0,2.05,0,689.5697204,65.7457242,0,-8.108373709,,,,,
103,1914,-21,126.1,2.27E-05,1007,0,1.8,7.290596043,669.2794308,58.27727564,0,-7.633955439,,,,,
104,1914,-18,125.9,2.26E-05,1006,0,1.92,7.292544045,649.071402,45.66846947,0,-6.757845032,,,,,
105,1914,-15,125.45,2.26E-05,1006,0,3.31,15.87163909,611.5614084,1.876123223,0,-1.369716475,,,,,
106,1914,-12,125,2.26E-05,1006,0,3.99,15.87163909,575.5479028,2.649230795,0,1.627645783,,,,,
107,1914,-9,124.4,2.26E-05,1006,0,3.25,21.16218545,530.3830829,3.874979011,0,1.968496637,,,,,
108,1914,-6,123.8,2.26E-05,1006,0,2.06,21.16218545,489.3037159,0.44964261,0,0.670553958,,,,,
109,1914,-3,123.25,2.27E-05,1006,0,2.02,19.73736996,465.5880032,1.600526496,0,1.265119163,,,,,
110,1914,0,122.7,2.28E-05,1006,0,1.87,19.7264154,448.5557161,1.98923835,0,1.410403612,,,,,
111,1914,3,122.3,2.36E-05,1005,0,1.98,26.26592902,496.5611649,0.268674829,0,-0.518338527,,,,,
112,1914,6,121.9,2.43E-05,1004,0,1.86,26.23904813,551.8435543,14.04085688,0,-3.74711314,,,,,
113,1914,9,121.2,2.40E-05,1004,0,2.27,26.20848644,516.1306765,1.72706763,0,-1.314179451,,,,,
114,1914,12,120.5,2.37E-05,1004,0,3.31,26.24320311,490.50458,4.887452999,0,2.210758467,,,,,
115,1914,15,119.55,2.39E-05,1003,0,3.86,33.7596924,526.5224979,4.519711326,0,2.125961271,,,,,
116,1914,18,118.6,2.40E-05,1002,0,2.36,33.72972288,578.1544813,16.58067222,0,-4.071937158,,,,,
117,1914,21,117.95,2.39E-05,1002,0,2.08,23.45058951,596.8393844,41.38957524,0,-6.433473031,,,,,
118,1914,24,117.3,2.37E-05,1002,0,1.62,23.47063256,623.0796587,77.02167684,0,-8.776199453,,,,,
