rf,fitted_lin,resid ^2,,,,,,fitted_step,resid^2,,,,
27.36,27.88074227,0.271172509,,,,,,28.79511837,2.059564733,,,,
19.11,30.28811617,124.9502812,,,,,,35.9276652,282.8338628,,,,
42.15,31.02368444,123.7948979,,,,,,36.28542637,34.39322389,,,,
30.21,27.3398507,8.237756995,,,,,,19.36506666,117.6125791,,,,
19.2,24.54131486,28.5296444,,,,,,15.1647811,16.28299158,,,,
24.63,22.68836756,3.769936535,,,,,,21.00545213,13.13734725,,,,
28.77,19.10977199,93.32000518,,,,,,17.33809636,130.6884209,,,,
9.75,13.17137752,11.70582414,,,,,,10.93455674,1.403174659,,,,
3.87,8.500114805,21.43796311,,,,,,8.819447818,24.4970337,,,,
10.26,10.62552867,0.13361121,,,,,,8.483164772,3.157143429,,,,
4.02,10.17943202,37.93860276,,,,,,8.308896886,18.3946365,,,,
7.62,10.46076456,8.069943271,,,,,,8.910475108,1.665326005,,,,
13.98,10.76391543,10.34319994,,,,,,9.14886428,23.33987235,,,,
11.79,11.68675432,0.01065967,,,,,,8.854208419,8.618872208,,,,
5.64,12.82244559,51.58752469,,,,,,8.956205821,10.99722105,,,,
2.16,16.31120281,200.2565411,,,,,,12.88278897,114.9782033,,,,
0.39,16.61018914,263.0945356,,,,,,12.49543813,146.5416323,,,,
2.55,17.15406316,213.2786609,,,,,,12.36106722,96.25703993,,,,
9.33,11.71383343,5.682661813,,,,,,4.381004097,24.49256045,,,,
16.08,11.23659302,23.45859121,,,,,,7.146220451,79.81241703,,,,
23.19,15.39928515,60.6952378,,,,,,14.65783365,72.79786257,,,,
38.7,16.54679943,490.7642956,,,,,,16.27305032,502.9680718,,,,
32.58,19.09881732,181.7422866,,,,,,18.31581942,203.4668477,,,,
18.27,15.67148856,6.75226168,,,,,,14.9675897,10.90591378,,,,
3.87,12.77230061,79.25095618,,,,,,13.75213933,97.65667777,,,,
4.14,7.454573048,10.98639449,,,,,,11.38898536,52.54778868,,,,
2.1,-4.348143308,41.57855212,,,,,,3.214580771,1.242290294,,,,
2.64,3.591762382,0.905851631,,,,,,-1.124818389,14.1738575,,,,
3.87,3.802958102,0.004494616,,,,,,0.208173725,13.40897167,,,,
4.95,5.239292267,0.083690016,,,,,,0.892433651,16.46384467,,,,
14.16,9.500406242,21.71181399,,,,,,2.508087773,135.7670585,,,,
32.28,12.27973565,400.0105742,,,,,,4.915153686,748.8348138,,,,
36.24,15.29250834,438.7974067,,,,,,7.211739817,842.6398893,,,,
28.68,16.90674882,138.6094434,,,,,,7.897218248,431.9240174,,,,
21.93,25.28589812,11.26205216,,,,,,23.61255022,2.830975256,,,,
26.82,25.60426086,1.478021652,,,,,,25.38804393,2.050498194,,,,
42.66,25.64397039,289.5452637,,,,,,27.34457291,234.5623069,,,,
43.68,26.51167443,294.7514029,,,,,,29.44554129,202.6198149,,,,
21.57,31.51307132,98.86466734,,,,,,32.88805122,128.0982834,,,,
19.38,25.42851058,36.58448026,,,,,,23.44239177,16.5030269,,,,
11.52,16.44361094,24.2419447,,,,,,11.89746282,0.142478182,,,,
5.73,9.047060491,11.0028903,,,,,,7.338361755,2.586827535,,,,
