,ID,t,phi,f,P,mw,w10m,v,r,rf
396,1315,-9,125.7,1.97e-05,1001.0,17.5,1.75,18.09205938,520.0080986,3.0
403,1315,12,124.0,2.3e-05,996.0,40.0,2.22,15.21091491,528.2809338,1.38
404,1315,15,123.95,2.36e-05,996.0,40.0,2.31,18.58067493,570.0929374,3.24
405,1315,18,123.9,2.42e-05,996.0,40.0,2.36,18.58050932,614.1463306,2.79
406,1315,21,123.7,2.45e-05,994.0,42.5,2.96,13.11496223,633.2522205,3.42
407,1315,24,123.5,2.49e-05,992.0,45.0,4.13,13.10804351,654.2358103,3.09
408,1223,-24,125.6,1.31e-05,997.0,35.0,2.86,0.0,687.9329488,1.95
409,1223,-21,124.9,1.36e-05,996.0,35.0,3.37,29.49352041,601.4207746,1.59
410,1223,-18,124.4,1.4e-05,997.0,35.0,5.06,21.32102154,539.0513554,3.18
422,1223,18,116.2,1.82e-05,993.0,42.5,5.58,21.86982763,515.5250931,21.18
423,1223,21,115.6,1.83e-05,990.0,45.0,5.16,21.86020808,579.7971016,21.24
424,1223,24,115.2,1.85e-05,985.0,50.0,4.25,15.38857894,622.6702077,28.62
425,1626,-24,125.55,1.7e-05,920.0,102.5,4.35,0.0,509.3918794,1.5
440,1626,21,116.3,1.88e-05,980.0,60.0,2.47,13.07874246,505.3722656,3.78
441,1626,24,116.15,1.86e-05,982.5,55.0,2.19,7.728613701,520.6666089,3.54
442,1928,-24,125.6,1.64e-05,955.0,85.0,3.26,0.0,531.5679544,0.69
459,1720,-24,124.6,2.33e-05,998.0,0.0,0.72,0.0,593.4268109,0.87
460,1720,-21,123.95,2.32e-05,997.0,17.5,1.02,23.1568567,542.8714554,2.13
476,1522,-24,126.4,1.59e-05,1008.0,0.0,1.42,0.0,629.1962256,6.18
477,1522,-21,125.8,1.67e-05,1008.0,0.0,1.45,32.36801988,543.2353864,7.14
491,1522,21,117.2,2.16e-05,987.5,52.5,5.08,25.89991357,501.0985439,2.19
492,1522,24,116.6,2.21e-05,985.0,55.0,3.71,25.86168168,577.9434416,1.2
493,1506,-24,126.85,1.76e-05,955.0,85.0,1.51,0.0,637.3341105,0.12
494,1506,-21,126.4,1.8e-05,955.0,85.0,1.75,19.62018196,585.3940203,0.36
495,1506,-18,125.8,1.83e-05,950.0,87.5,1.86,24.23488218,518.9971944,0.48
507,1506,18,122.25,2.38e-05,927.5,102.5,5.17,19.23092193,516.4866194,0.15
508,1506,21,122.1,2.44e-05,930.0,100.0,3.36,19.22685356,566.7311682,0.03
509,1506,24,122.05,2.5e-05,937.5,95.0,2.26,18.58027138,620.1108788,0.0
527,1714,-24,126.0,1.92e-05,1006.0,0.0,1.5,0.0,544.2862703,2.55
542,1714,21,117.45,2.3e-05,993.0,42.5,2.66,30.61816982,566.8327692,11.97
543,1714,24,116.8,2.37e-05,992.0,45.0,2.84,30.56293552,657.1082851,6.57
544,1622,-24,127.5,2e-05,900.0,115.0,0.53,0.0,714.4451093,1.8
545,1622,-21,126.75,2.01e-05,900.0,115.0,0.56,26.80896469,637.5603928,2.16
546,1622,-18,126.0,2.02e-05,900.0,115.0,0.25,26.80225619,561.7566833,2.01
547,1622,-15,125.35,2.05e-05,900.0,115.0,0.89,25.66163697,507.2297618,0.93
556,1622,12,118.8,2.37e-05,950.0,75.0,5.32,25.36246385,539.2353577,3.72
557,1622,15,118.1,2.42e-05,955.0,72.5,4.89,28.62219358,612.2902203,1.47
558,1622,18,117.4,2.46e-05,960.0,70.0,4.79,28.57025645,687.987778,2.13
559,1622,21,117.0,2.51e-05,960.0,70.0,3.84,20.32337634,747.5459079,3.3
560,1622,24,116.6,2.56e-05,960.0,70.0,2.18,20.29880289,807.0866596,2.52
575,1621,18,116.35,2.1e-05,970.0,65.0,2.87,30.19435705,550.5163091,10.44
576,1621,21,115.5,2.1e-05,970.0,65.0,2.15,30.19435705,633.012953,8.01
577,1621,24,114.9,2.11e-05,970.0,62.5,2.17,21.62121155,696.1282512,6.48
591,1924,15,116.75,1.58e-05,977.5,62.5,2.66,12.81115673,513.2617639,0.6
592,1924,18,116.4,1.59e-05,975.0,65.0,2.78,12.80871541,545.222496,0.81
593,1924,21,116.05,1.58e-05,975.0,65.0,3.46,12.81115673,582.3916648,0.42
594,1924,24,115.7,1.57e-05,975.0,65.0,3.04,12.81358852,619.7403015,0.12
595,1308,-24,126.2,1.78e-05,1008.0,0.0,2.9,0.0,564.8789782,1.14
596,1308,-21,125.9,1.81e-05,1007.0,0.0,2.38,13.07616224,530.7318992,1.38
609,1308,18,120.9,2.4e-05,1002.0,35.0,1.33,23.76372025,521.2447063,8.76
610,1308,21,120.45,2.43e-05,1002.0,35.0,0.99,17.39254334,546.2368661,3.03
611,1308,24,120.0,2.45e-05,1002.0,35.0,0.97,17.37487396,574.8677709,1.92
612,1913,-24,129.1,1.59e-05,1004.0,0.0,1.43,0.0,909.5149699,3.81
613,1913,-21,128.4,1.66e-05,1003.0,0.0,1.93,33.6456915,818.8897922,2.22
614,1913,-18,127.7,1.73e-05,1002.0,0.0,1.83,33.59822697,731.6980355,2.04
615,1913,-15,127.3,1.77e-05,1002.0,0.0,1.51,18.17603075,684.396278,3.75
616,1913,-12,126.9,1.81e-05,1002.0,0.0,1.37,18.16094065,638.4723596,5.7
617,1913,-9,126.5,1.86e-05,1001.0,17.5,1.84,20.61192829,594.2576862,5.88
618,1913,-6,126.1,1.91e-05,1000.0,35.0,1.62,20.5933907,553.7417846,8.43
619,1913,-3,125.55,2e-05,1000.0,35.0,1.44,33.98184714,511.2119931,8.58
622,1913,6,124.3,2.25e-05,998.0,40.0,4.78,27.03289068,515.1853285,5.73
623,1913,9,124.15,2.3e-05,996.0,42.5,3.83,17.46477098,542.2866001,4.47
624,1913,12,124.0,2.36e-05,994.0,45.0,2.77,17.46079908,572.9969626,3.09
625,1913,15,123.95,2.4e-05,993.0,47.5,3.05,14.90151792,607.3263046,3.81
626,1913,18,123.9,2.45e-05,992.0,50.0,3.4,14.90122789,642.9529757,1.71
627,1913,21,123.95,2.51e-05,991.0,52.5,3.42,16.73945478,689.2563001,0.57
628,1913,24,124.0,2.56e-05,990.0,55.0,2.87,16.73921349,736.0438483,0.69
645,2001,24,119.5,2.36e-05,1002.0,0.0,1.59,14.90180292,501.6759712,1.92
646,1717,-24,129.8,2.04e-05,1008.0,0.0,1.89,0.0,960.7501063,0.09
647,1717,-21,128.95,2.03e-05,1007.0,0.0,1.73,30.51322383,869.9688178,0.09
648,1717,-18,128.1,2.02e-05,1006.0,0.0,1.55,30.52842147,779.1609279,0.09
649,1717,-15,127.75,2.03e-05,1006.0,0.0,1.52,13.64736879,745.9941051,0.09
650,1717,-12,127.4,2.05e-05,1006.0,0.0,1.32,13.6386486,713.7463607,0.0
651,1717,-9,126.55,2.05e-05,1005.0,0.0,1.04,30.32148854,625.5007763,0.33
652,1717,-6,125.7,2.04e-05,1004.0,0.0,0.73,30.32921064,538.0581355,0.72
653,1717,-3,125.35,2.06e-05,1004.0,0.0,0.31,13.6357248,509.3257258,1.59
655,1717,3,124.95,2.13e-05,1004.0,0.0,0.96,16.74099353,501.9917926,1.53
656,1717,6,124.9,2.19e-05,1004.0,0.0,1.33,16.74078392,525.6333933,2.97
657,1717,9,124.55,2.28e-05,1004.0,0.0,1.76,30.36367964,553.1629677,3.66
658,1717,12,124.2,2.37e-05,1004.0,0.0,1.62,30.34234246,593.9096133,4.05
659,1717,15,123.45,2.42e-05,1004.0,0.0,2.6,30.13371675,591.9939887,3.54
660,1717,18,122.7,2.46e-05,1004.0,0.0,4.09,30.07706786,604.092592,2.25
661,1717,21,121.9,2.49e-05,1002.0,17.5,4.12,29.37994908,612.0029727,1.32
662,1717,24,121.1,2.52e-05,1000.0,35.0,2.2,29.33757954,632.3035479,1.29
663,1002,-24,126.5,1.8e-05,975.0,65.0,0.55,0.0,596.1634288,2.76
664,1002,-21,125.65,1.8e-05,975.0,65.0,1.0,30.56326237,504.6474551,3.9
679,1002,24,116.1,2.02e-05,992.0,45.0,2.67,28.58082886,547.9181936,14.88
680,1203,-24,126.3,1.8e-05,1000.0,0.0,1.04,0.0,574.625273,4.65
681,1203,-21,125.9,1.83e-05,999.0,0.0,1.29,18.15071212,529.7696794,6.36
693,1203,15,124.6,2.23e-05,980.0,55.0,5.42,9.899949775,526.0364011,6.45
694,1203,18,124.7,2.26e-05,980.0,55.0,4.36,9.89824281,552.5153082,6.42
695,1203,21,124.85,2.29e-05,980.0,55.0,4.66,10.65111859,582.9525267,5.46
696,1203,24,125.0,2.32e-05,980.0,55.0,4.67,10.64737441,613.4788941,4.8
697,2022,-24,125.7,1.82e-05,990.0,55.0,1.43,0.0,508.5862366,7.5
713,2022,24,116.3,1.91e-05,980.0,60.0,4.96,17.99946717,507.3129196,11.43
714,1604,-24,126.9,1.69e-05,1002.0,0.0,2.17,0.0,654.615652,1.26
715,1604,-21,126.5,1.77e-05,1002.0,0.0,1.84,29.62527179,598.3545251,2.07
716,1604,-18,126.15,1.86e-05,1000.0,17.5,1.76,28.77704694,556.6153776,1.05
717,1604,-15,125.8,1.94e-05,998.0,35.0,1.27,28.75946147,526.2835067,0.78
728,1604,18,120.65,2.39e-05,977.5,57.5,5.05,23.22391275,505.7303245,21.09
729,1604,21,120.1,2.43e-05,980.0,55.0,4.17,23.18976846,551.2038727,13.68
730,1604,24,119.5,2.46e-05,980.0,55.0,3.74,23.70634784,597.2078888,11.19
731,1415,-24,127.0,1.9e-05,977.5,57.5,2.36,0.0,649.4465848,2.31
732,1415,-21,126.6,1.93e-05,975.0,60.0,2.72,17.03781861,609.3503637,5.13
733,1415,-18,126.15,1.96e-05,972.5,62.5,2.74,17.7028411,564.9975087,6.33
734,1415,-15,125.7,1.98e-05,970.0,65.0,2.46,17.68853223,522.4740597,7.29
745,1415,18,117.25,2.28e-05,970.0,65.0,5.9,35.26051161,569.0649889,11.91
746,1415,21,116.3,2.32e-05,970.0,65.0,4.83,35.2051088,663.8512871,11.37
747,1415,24,115.45,2.34e-05,967.5,67.5,4.93,30.37782316,742.8229236,5.34
748,1209,-24,126.8,1.82e-05,1000.0,35.0,2.28,0.0,627.1124574,2.79
749,1209,-21,126.55,1.87e-05,998.0,37.5,2.4,17.3000411,599.8631884,2.31
750,1209,-18,126.3,1.92e-05,996.0,40.0,1.51,17.29145448,576.1908157,2.01
751,1209,-15,126.15,1.95e-05,996.0,40.0,1.9,10.68993477,564.0709142,5.91
752,1209,-12,126.0,1.98e-05,996.0,40.0,1.97,10.68670605,553.6145407,13.35
753,1209,-9,125.75,2e-05,993.0,42.5,1.71,11.5867417,533.1848469,18.48
754,1209,-6,125.5,2.03e-05,990.0,45.0,1.02,11.57986174,514.3960286,20.04
755,1209,-3,125.2,2.08e-05,987.5,50.0,2.01,18.24155917,501.5137302,16.44
757,1209,3,124.8,2.16e-05,985.0,55.0,2.36,9.903961021,500.9547713,8.16
758,1209,6,124.7,2.19e-05,985.0,55.0,2.7,9.902304398,508.9966037,6.78
759,1209,9,124.55,2.23e-05,985.0,55.0,4.09,13.98983431,522.188097,10.98
760,1209,12,124.4,2.27e-05,985.0,55.0,5.31,13.9859985,538.4166899,19.62
761,1209,15,124.65,2.31e-05,985.0,55.0,5.82,15.65249608,584.4738412,24.96
762,1209,18,124.9,2.36e-05,985.0,55.0,5.49,15.64241597,630.5244987,16.02
763,1209,21,125.05,2.39e-05,982.5,55.0,5.0,12.28046852,665.6184963,15.3
764,1209,24,125.2,2.43e-05,980.0,55.0,6.0,12.27644907,700.8165066,21.0
765,1104,-24,127.4,1.56e-05,1006.0,0.0,1.84,0.0,739.3859627,1.35
766,1104,-21,127.05,1.62e-05,1006.0,0.0,2.01,22.41196535,685.0353931,1.44
767,1104,-18,126.7,1.69e-05,1006.0,0.0,1.76,22.39761025,633.4293206,2.43
768,1104,-15,126.15,1.75e-05,1005.0,0.0,1.47,27.10211992,563.8717033,7.71
781,1104,24,121.0,2.4e-05,1002.0,0.0,4.02,30.13517892,521.1765123,5.19
782,2018,-24,126.9,1.69e-05,993.0,47.5,1.24,0.0,654.615652,36.96
783,2018,-21,126.4,1.69e-05,992.0,50.0,1.34,18.04815257,601.7127689,26.31
784,2018,-18,125.55,1.69e-05,988.5,55.0,1.54,30.68185937,512.3735261,11.94
797,2018,21,116.0,1.69e-05,955.0,80.0,5.26,27.07222885,555.8187167,13.29
798,2018,24,115.2,1.69e-05,952.5,82.5,4.1,28.87704411,640.2478755,10.62
799,1329,-24,126.8,2.15e-05,992.0,50.0,2.65,0.0,682.4541811,0.09
800,1329,-21,126.1,2.17e-05,991.0,52.5,2.26,25.40611308,623.3505804,0.09
801,1329,-18,125.4,2.19e-05,990.0,55.0,1.35,25.38624778,568.5664345,0.09
802,1329,-15,124.8,2.19e-05,987.5,57.5,0.74,21.30803987,520.6520459,0.09
811,1329,12,119.3,2.36e-05,975.0,70.0,2.01,23.9884409,508.6241984,0.27
812,1329,15,118.75,2.37e-05,975.0,70.0,1.99,19.64811884,541.4979469,0.15
813,1329,18,118.2,2.38e-05,975.0,70.0,2.06,19.63670342,578.4676407,0.09
814,1329,21,117.75,2.4e-05,975.0,70.0,3.33,16.71254635,617.4593326,0.63
815,1329,24,117.3,2.42e-05,975.0,70.0,2.96,16.69891152,657.8725498,1.32
816,1905,-24,127.5,2.13e-05,998.0,0.0,0.1,0.0,743.0527652,3.48
817,1905,-21,126.75,2.13e-05,998.0,0.0,0.41,26.61383962,669.1078,1.2
818,1905,-18,126.0,2.13e-05,998.0,0.0,1.35,26.61383962,596.6845235,1.32
819,1905,-15,125.45,2.13e-05,996.0,17.5,1.95,19.5990752,547.5120693,2.13
820,1905,-12,124.9,2.14e-05,994.0,35.0,2.22,19.59386945,500.4798047,2.94
827,1905,9,123.6,2.31e-05,994.0,35.0,4.28,17.01524025,517.7848561,5.52
828,1905,12,123.7,2.37e-05,994.0,35.0,4.89,17.01356603,565.5525935,0.39
829,1905,15,123.9,2.46e-05,993.0,35.0,6.08,28.61285895,647.795727,0.63
830,1905,18,124.1,2.55e-05,992.0,35.0,6.98,28.60548454,730.6899515,1.98
831,1905,21,124.1,2.63e-05,992.0,35.0,7.03,25.89886431,800.4243322,3.33
832,1905,24,124.1,2.71e-05,992.0,35.0,5.08,25.89959218,871.499174,3.81
833,1208,-24,126.2,1.92e-05,1004.0,0.0,1.81,0.0,565.5520917,0.57
834,1208,-21,125.9,1.93e-05,1004.0,0.0,2.95,11.35185759,535.1284763,1.86
835,1208,-18,125.6,1.94e-05,1004.0,0.0,3.51,11.34696804,505.2318008,4.83
847,1208,18,118.6,2.33e-05,1000.0,0.0,3.24,33.84825392,519.3547451,8.04
848,1208,21,118.1,2.33e-05,999.0,0.0,2.84,17.57382763,546.8041033,7.35
849,1208,24,117.6,2.33e-05,998.0,0.0,3.4,17.57382763,577.7709002,8.94
865,2015,21,116.25,1.64e-05,1005.0,0.0,1.85,21.21694758,543.2759493,30.39
866,2015,24,115.7,1.66e-05,1004.0,0.0,1.7,21.2018285,593.3025643,20.82
884,1013,-24,124.65,2.23e-05,890.0,122.5,1.27,0.0,529.9097284,1.05
901,1912,-24,128.85,1.7e-05,1002.0,0.0,1.89,0.0,860.4092559,2.91
902,1912,-21,128.2,1.7e-05,1002.0,0.0,1.25,23.45280695,790.8314027,4.65
903,1912,-18,127.35,1.75e-05,1002.0,0.0,1.42,34.84324735,691.7731132,9.09
904,1912,-15,126.5,1.81e-05,1002.0,0.0,1.53,34.79006681,595.3726247,10.38
913,1912,12,116.65,2.07e-05,997.0,37.5,3.12,23.19386703,510.2266754,0.0
914,1912,15,116.0,2.08e-05,996.0,40.0,2.94,23.18788203,575.8037795,0.0
915,1912,18,115.25,2.1e-05,995.0,40.0,4.18,27.22065119,655.7956834,0.15
916,1912,21,114.5,2.11e-05,994.0,40.0,5.12,27.20001104,735.9421282,0.87
917,1912,24,113.85,2.13e-05,994.0,40.0,4.6,23.71741132,806.1289453,1.47
934,1108,24,117.7,2.25e-05,990.0,45.0,2.93,31.97605584,512.6229877,8.58
952,1206,-24,128.9,1.92e-05,1000.0,35.0,1.71,0.0,853.6653989,0.87
953,1206,-21,128.3,1.93e-05,1000.0,35.0,1.78,21.54919182,789.9016661,0.66
954,1206,-18,127.7,1.93e-05,1000.0,35.0,1.75,21.54405978,726.360368,0.72
955,1206,-15,127.05,1.95e-05,1000.0,35.0,1.59,23.88968666,659.1503604,0.81
956,1206,-12,126.4,1.97e-05,1000.0,35.0,1.73,23.87315078,593.203959,0.66
957,1206,-9,125.75,2e-05,1000.0,35.0,2.25,24.96659184,531.7216428,1.71
963,1206,9,123.25,2.34e-05,996.0,37.5,2.87,28.2423752,518.514877,1.83
964,1206,12,123.1,2.43e-05,994.0,40.0,3.64,28.2386742,587.0622689,1.56
965,1206,15,122.1,2.45e-05,994.0,40.0,4.9,35.38346263,572.1552756,1.71
966,1206,18,121.1,2.46e-05,994.0,40.0,5.65,35.35108677,576.8093612,2.91
967,1206,21,120.3,2.48e-05,994.0,40.0,5.3,28.1567546,592.1001657,4.92
968,1206,24,119.5,2.49e-05,994.0,40.0,3.4,28.13923207,618.6247202,6.12
