,ID,t,phi,f,P,mw,w10m,v,r,rf
562,1621,-21,124.6,1.80E-05,970,65,3.2,15.41582713,391.710563,2.31
563,1621,-18,124.25,1.82E-05,962.5,72.5,3.81,14.58853925,352.3726751,4.29
572,1621,9,118.4,2.08E-05,965,70,6.48,25.9682213,353.4683492,6.39
601,1308,-6,124.4,1.96E-05,1004,0,1.71,18.27274529,382.7520465,1.71
602,1308,-3,124.1,2.00E-05,1004,0,2.11,18.2604848,367.8320951,9.78
603,1308,0,123.8,2.05E-05,1004,0,2.33,18.24793872,360.9237492,20.64
604,1308,3,123.5,2.10E-05,1004,0,3.16,18.23510892,362.4589059,19.2
605,1308,6,123.2,2.15E-05,1004,0,2.93,18.22199731,372.3058484,8.4
631,2001,-18,123.6,1.60E-05,980,65,2.39,16.25975985,354.2083693,10.41
642,2001,15,119.8,2.21E-05,1000,35,2.91,16.39966327,365.7342029,14.49
677,1002,18,117.7,2.00E-05,992,45,4.2,16.79676302,383.8596655,6.66
699,2022,-18,124.6,1.83E-05,975,65,1.73,19.83597517,389.7273933,8.1
711,2022,18,117.3,1.89E-05,980,60,6.42,21.57460775,399.5541546,35.79
721,1604,-3,123.8,2.11E-05,990,45,4.35,14.10589972,393.6903201,2.82
722,1604,0,123.45,2.15E-05,987.5,47.5,3.63,16.64582661,389.6900555,2.97
723,1604,3,123.1,2.19E-05,985,50,4.02,16.6307925,392.2194133,1.26
737,1415,-6,123.95,2.09E-05,970,65,3.07,22.47833023,392.7215542,25.32
738,1415,-3,123.4,2.13E-05,970,65,5.12,22.45145247,370.0560495,19.71
739,1415,0,122.55,2.17E-05,970,65,6.31,33.53809139,352.1470145,25.17
740,1415,3,121.7,2.22E-05,970,65,7.75,33.4784437,362.7417557,26.7
741,1415,6,120.65,2.23E-05,972.5,62.5,7.76,37.13238602,361.939099,24.45
742,1415,9,119.6,2.24E-05,975,60,7.07,37.12196294,393.9899749,23.22
786,2018,-12,123.95,1.68E-05,980,65,2.06,27.14093224,350.2816263,3.51
824,1905,0,123.4,2.16E-05,994,35,2.73,9.048033735,394.3883951,8.7
839,1208,-6,124.3,2.03E-05,1004,0,3.43,13.00040407,396.4263551,2.88
840,1208,-3,123.85,2.08E-05,1003,0,3.23,23.08761217,380.9123537,4.59
841,1208,0,123.4,2.14E-05,1002,0,3.33,23.06142615,378.0154443,4.68
851,2015,-21,124.55,1.73E-05,1005,0,1.59,9.008847794,395.8904045,32.85
852,2015,-18,124.3,1.73E-05,1006,0,1.6,9.008847794,369.6096667,20.67
853,2015,-15,124.1,1.73E-05,1006,0,1.79,7.44208942,350.1977455,13.17
862,2015,12,118,1.60E-05,1006,0,2.2,19.99498094,386.6898323,50.34
869,1101,-18,124.45,1.73E-05,996,35,1.84,12.91147854,386.7659887,1.38
870,1101,-15,124.2,1.76E-05,996,35,1.77,12.90475168,353.9714663,4.98
881,1101,18,122.3,2.20E-05,996,35,6.5,14.79739048,360.6829337,9.15
898,1013,18,118.25,2.08E-05,950,80,5.2,12.44599778,366.0765597,14.73
899,1013,21,117.9,2.08E-05,950,80,5.29,12.44599778,396.4493172,18.27
906,1912,-9,124.2,1.93E-05,1000,0,2.09,45.10663136,356.4555876,8.88
932,1108,18,119.35,2.20E-05,990,45,5.62,28.08618076,379.7882353,13.23
